,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum_Temperature,Wind_Speed
0,East London,0,ZA,1630560020,93,-33.0153,27.9116,52.74,2.3
1,Hengshui,3,CN,1630560021,60,37.7322,115.7011,80.51,5.08
2,Ossora,98,RU,1630560021,79,59.2353,163.0719,57.54,9.82
3,Provideniya,90,RU,1630560022,76,64.3833,-173.3,48.31,6.71
4,Ushuaia,0,AR,1630559951,75,-54.8,-68.3,37.06,5.75
5,Castro,23,BR,1630560022,93,-24.7911,-50.0119,51.71,3.94
6,Inuvik,75,CA,1630560023,94,68.3499,-133.7218,54.46,5.75
7,Inírida,69,CO,1630560023,98,3.8653,-67.9239,71.64,0.49
8,Aydūn,0,JO,1630560024,69,32.5072,35.8575,72.81,5.86
9,Rikitea,0,PF,1630560024,77,-23.1203,-134.9692,73.9,14.9
10,Vila Velha,40,BR,1630560024,94,-20.3297,-40.2925,64.35,0
11,Atuona,78,PF,1630560025,79,-9.8,-139.0333,77.77,18.86
12,Qaanaaq,100,GL,1630560025,65,77.484,-69.3632,30.83,10.87
13,Kavieng,100,PG,1630560026,67,-2.5744,150.7967,85.23,8.41
14,Severo-Kuril'sk,98,RU,1630560026,93,50.6789,156.125,55.71,2.59
15,Laguna,1,US,1630560027,77,38.421,-121.4238,68.5,3
16,Iracoubo,87,GF,1630560027,88,5.4802,-53.2011,76.84,2.89
17,Muros,81,ES,1630560028,95,42.7762,-9.0603,65.23,3.98
18,Barrow,90,US,1630560004,93,71.2906,-156.7887,37.42,12.66
19,Sandpoint,1,US,1630560029,71,48.2766,-116.5533,57.96,0
20,Norman Wells,20,CA,1630560029,55,65.282,-126.8329,62.64,6.91
21,Rassvet,29,RU,1630560030,94,46.8333,40.75,71.04,2.24
22,Butaritari,23,KI,1630560030,70,3.0707,172.7902,83.61,9.22
23,Basoko,99,CD,1630560030,92,1.2391,23.616,69.96,2.82
24,Lodja,100,CD,1630560031,92,-3.4833,23.4333,70.41,2.01
25,Lethem,28,GY,1630560031,80,3.3803,-59.7968,74.82,5.91
26,Hobart,0,AU,1630560032,29,-42.8794,147.3294,78.06,5.01
27,Port Alfred,100,ZA,1630560032,88,-33.5906,26.891,59.31,6.02
28,Banda Aceh,100,ID,1630560033,70,5.5577,95.3222,82.29,5.55
29,Vaini,75,TO,1630560033,83,-21.2,-175.2,71.76,6.91
30,Hilo,20,US,1630560034,79,19.7297,-155.09,75.79,3.44
31,Susanville,1,US,1630560034,16,40.4163,-120.653,66.04,6.91
32,Sompeta,100,IN,1630560035,68,18.9333,84.6,86.52,4.21
33,New Norfolk,0,AU,1630560035,19,-42.7826,147.0587,77.72,7
34,Sonoita,1,MX,1630560035,50,31.85,-112.8333,82.53,8.08
35,Busselton,69,AU,1630560036,50,-33.65,115.3333,53.04,18.66
36,Port-Cartier,100,CA,1630560036,96,50.0334,-66.8654,56.75,1.43
37,Nioro,65,GM,1630560037,98,13.35,-15.75,71.38,4.45
38,Rio Brilhante,1,BR,1630560037,46,-21.8019,-54.5464,68.7,7.02
39,Arraial do Cabo,9,BR,1630559948,88,-22.9661,-42.0278,68.58,13.11
40,Vestmannaeyjar,100,IS,1630560038,79,63.4427,-20.2734,54.46,7.36
41,Port Elizabeth,20,ZA,1630560038,93,-33.918,25.5701,48.49,4.61
42,Yellowknife,20,CA,1630560039,94,62.456,-114.3525,54.12,8.05
43,Naryan-Mar,100,RU,1630560039,82,67.6713,53.087,45.21,9.64
44,Chui,100,UY,1630560040,96,-33.6971,-53.4616,58.73,11.1
45,Fortuna,75,US,1630560041,71,40.5982,-124.1573,55.42,0
46,Beloha,61,MG,1630560041,74,-25.1667,45.05,73.8,1.3
47,Punta Arenas,0,CL,1630559746,80,-53.15,-70.9167,33.91,2.3
48,Ilulissat,0,GL,1630560042,69,69.2167,-51.1,30.22,4.61
49,Saldanha,100,ZA,1630560042,66,-33.0117,17.9442,42.85,6.38
50,Bandarbeyla,3,SO,1630560043,64,9.4942,50.8122,82.22,24.92
51,Nikolskoye,13,RU,1630560043,90,59.7035,30.7861,48.09,7.36
52,Puerto Ayora,85,EC,1630560044,90,-0.7393,-90.3518,68.56,3
53,Vila,73,PT,1630560044,95,42.0304,-8.1588,55.33,1.83
54,Avarua,75,CK,1630560044,100,-21.2078,-159.775,69.85,2.3
55,Blagoyevo,100,RU,1630560045,98,63.3667,47.9167,43.77,8.01
56,Sola,47,VU,1630560046,73,-13.8833,167.55,77.88,23.4
57,Rāiganj,100,IN,1630560046,72,25.6167,88.1167,86.76,3.74
58,Saint-Philippe,43,RE,1630560047,74,-21.3585,55.7679,74.79,12.3
59,Faanui,12,PF,1630560047,71,-16.4833,-151.75,79.38,18.19
60,Albany,100,US,1630559945,94,42.6001,-73.9662,59.85,11.52
61,Sangar,100,RU,1630560048,70,63.9242,127.4739,54.61,6.49
62,São José da Coroa Grande,29,BR,1630560048,82,-8.8978,-35.1478,73.29,9.24
63,Dikson,100,RU,1630560049,74,73.5069,80.5464,38.77,3.58
64,Hasaki,100,JP,1630560049,87,35.7333,140.8333,70.2,19.08
65,Hermanus,77,ZA,1630560050,87,-34.4187,19.2345,51.91,12.84
66,Ubari,0,LY,1630559985,27,26.5921,12.7805,82.02,9.4
67,Hong Kong,12,HK,1630560050,75,22.2855,114.1577,89.96,1.01
68,Cabo San Lucas,71,MX,1630560051,73,22.8909,-109.9124,83.61,3
69,Charagua,8,BO,1630560051,49,-19.8,-63.2167,73.26,8.05
70,Sechura,11,PE,1630560052,80,-5.5569,-80.8222,63.84,10.02
71,São Joaquim,59,BR,1630560052,81,-28.2939,-49.9317,47.44,3.36
72,Chicama,56,PE,1630560053,82,-7.8447,-79.1469,64.4,4.81
73,Yar-Sale,100,RU,1630560053,62,66.8333,70.8333,49.6,16.2
74,Terrasini,0,IT,1630560054,75,38.146,13.0844,76.21,4.61
75,Babu,9,CN,1630560054,50,24.4167,111.5167,93.79,3.31
76,Lüderitz,0,NA,1630560055,79,-26.6481,15.1594,53.51,3.42
77,Jalu,0,LY,1630560055,54,29.0331,21.5482,75.87,6.62
78,Mar del Plata,90,AR,1630560056,100,-38.0023,-57.5575,50.02,9.22
79,Katsuura,100,JP,1630560056,94,35.1333,140.3,73.42,11.88
80,Broome,1,US,1630560057,94,42.2506,-75.833,59.16,1.99
81,Ancud,76,CL,1630560057,94,-41.8697,-73.8203,48.42,4.47
82,Viedma,95,AR,1630560027,87,-40.8135,-62.9967,45.93,7.07
83,Emerald,99,AU,1630560058,31,-23.5333,148.1667,80.8,17.96
84,Adrar,9,MR,1630560059,16,20.5022,-10.0711,88.18,13.42
85,Dunedin,3,NZ,1630560059,65,-45.8742,170.5036,53.8,8.99
86,Mataura,6,NZ,1630560060,68,-46.1927,168.8643,52.48,1.3
87,Jamestown,1,US,1630559639,83,42.097,-79.2353,62.71,1.99
88,Amga,15,RU,1630560060,33,60.8953,131.9608,70.5,4.97
89,Tocopilla,19,CL,1630560061,79,-22.092,-70.1979,61.38,1.54
90,Batagay-Alyta,100,RU,1630560061,47,67.8006,130.4114,55.69,13.35
91,Petropavlovsk-Kamchatskiy,75,RU,1630560062,68,53.0452,158.6483,63.19,8.95
92,Broadford,0,AU,1630560062,65,-37.2,145.0667,76.53,15.52
93,Vao,4,NC,1630560063,67,-22.6667,167.4833,67.78,21.59
94,Seminole,1,US,1630560063,92,28.7086,-81.2081,77.32,1.01
95,Bethel,90,US,1630559821,92,41.3712,-73.414,63.1,3
96,Tazovsky,92,RU,1630560064,63,67.4667,78.7,44.94,7.11
97,Port-Gentil,75,GA,1630560064,83,-0.7193,8.7815,75.16,11.5
98,Lompoc,1,US,1630560065,84,34.6391,-120.4579,63.57,0
99,Yulara,100,AU,1630560065,9,-25.2406,130.9889,89.44,19.57
100,Bluff,39,NZ,1630560066,69,-46.6,168.3333,52.81,5.75
101,Saint Paul Harbor,90,US,1630560066,94,57.79,-152.4072,53.11,6.91
